playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Vyrdis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-20350.61 596.2772 22667.76,6.297792E-10 131.71 -1.490151E-08,True,True,False,9/12/2017 3:40:52 AM,15761686,'Varghulf',76561198092221545,9/12/2017 3:41:32 AM,15762492,
Vyrdis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-20350.61 596.2772 22667.76,6.297792E-10 131.71 -1.490151E-08,True,True,False,9/12/2017 3:40:52 AM,15761686,'Varghulf',76561198092221545,9/12/2017 4:40:50 AM,15833662,
Vyrdis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-20350.61 596.2772 22667.76,6.297792E-10 131.71 -1.490151E-08,True,True,False,9/12/2017 3:40:52 AM,15761686,'Varghulf',76561198092221545,9/12/2017 4:55:11 AM,15850873,
Vyrdis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-20350.61 596.2772 22667.76,6.297792E-10 131.71 -1.490151E-08,True,True,False,9/12/2017 3:40:52 AM,15761686,'Varghulf',76561198092221545,9/12/2017 5:10:09 AM,15868827,
Vyrdis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-20350.61 596.2772 22667.76,6.297792E-10 131.71 -1.490151E-08,True,True,False,9/12/2017 9:39:49 AM,16192441,'Varghulf',76561198092221545,9/12/2017 9:43:38 AM,16197009,
Vyrdis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-20350.61 596.2772 22667.76,6.297792E-10 131.71 -1.490151E-08,True,True,False,9/12/2017 9:39:49 AM,16192441,'Varghulf',76561198092221545,9/12/2017 9:57:18 AM,16213407,
Seranis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-17000.22 -25.34313 -9999.434,-3.115962E-10 59.35382 -1.137203E-09,True,True,False,9/12/2017 11:10:39 AM,16301434,'Varghulf',76561198092221545,9/12/2017 11:13:44 AM,16305130,
Seranis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-17000.22 -25.34313 -9999.434,-3.115962E-10 59.35382 -1.137203E-09,True,True,False,9/12/2017 11:10:39 AM,16301434,'Varghulf',76561198092221545,9/12/2017 11:28:59 AM,16323427,
Seranis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-17000.22 -25.34313 -9999.434,-3.115962E-10 59.35382 -1.137203E-09,True,True,False,9/12/2017 11:10:39 AM,16301434,'Varghulf',76561198092221545,9/12/2017 11:30:57 AM,16325802,
Seranis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-17000.22 -25.34313 -9999.434,-3.115962E-10 59.35382 -1.137203E-09,True,True,False,9/12/2017 11:10:39 AM,16301434,'Varghulf',76561198092221545,9/12/2017 11:51:48 AM,16348576,
Seranis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-17000.22 -25.34313 -9999.434,-3.115962E-10 59.35382 -1.137203E-09,True,True,False,9/12/2017 11:10:39 AM,16301434,'Varghulf',76561198092221545,9/12/2017 12:53:43 PM,16422886,
Seranis System,191856,'DEFIANT-M',CV,[Fac   105],10786,400,-17000.22 -25.34313 -9999.434,-3.115962E-10 59.35382 -1.137203E-09,True,True,False,9/12/2017 11:10:39 AM,16301434,'Varghulf',76561198092221545,9/12/2017 1:13:00 PM,16446027,
