playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Himalia,121095,'Capital Vessel (CV)',CV,[Fac   102],18197,283,1760.803 32.01486 -68.97939,358.2473 213.4185 356.4638,True,True,False,9/8/2017 4:21:57 AM,8908178,'Vatirel',76561198025654783,9/8/2017 4:22:20 AM,8908648,
Himalia,121095,'Capital Vessel (CV)',CV,[Fac   102],18197,283,1760.803 32.01486 -68.97939,358.2473 213.4185 356.4638,True,True,False,9/8/2017 4:21:57 AM,8908178,'Vatirel',76561198025654783,9/8/2017 12:04:39 PM,9463413,
Himalia,121095,'Capital Vessel (CV)',CV,[Fac   102],18197,283,1760.803 32.01486 -68.97939,358.2473 213.4185 356.4638,True,True,False,9/8/2017 12:19:39 PM,9477661,' FENRIS',76561197968119133,9/8/2017 1:50:11 PM,9586289,
Himalia System,121095,'DethDeala',CV,[Fac   102],18198,284,4398.09 1062.983 -4281.529,0 312.9345 0,True,True,False,9/8/2017 8:44:40 PM,10083679,'Vatirel',76561198025654783,9/8/2017 8:50:17 PM,10090421,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/9/2017 10:49:18 AM,11097232,' FENRIS',76561197968119133,9/9/2017 11:34:14 AM,11151154,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/9/2017 10:49:18 AM,11097232,' FENRIS',76561197968119133,9/9/2017 1:37:10 PM,11296733,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/9/2017 4:46:19 PM,11523714,' FENRIS',76561197968119133,9/9/2017 4:49:07 PM,11527087,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/9/2017 4:46:19 PM,11523714,' FENRIS',76561197968119133,9/9/2017 10:53:18 PM,11964028,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/9/2017 4:46:19 PM,11523714,' FENRIS',76561197968119133,9/10/2017 12:56:22 AM,12111787,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/10/2017 6:09:34 PM,13349865,'Vatirel',76561198025654783,9/10/2017 6:14:38 PM,13355940,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/10/2017 6:46:17 PM,13393925,'Vatirel',76561198025654783,9/10/2017 6:46:39 PM,13394358,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/10/2017 6:46:17 PM,13393925,'Vatirel',76561198025654783,9/12/2017 1:44:45 AM,15622347,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/10/2017 6:46:17 PM,13393925,'Vatirel',76561198025654783,9/12/2017 4:48:22 AM,15842704,
Himalia,121095,'DethDeala',CV,[Fac   102],18200,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/10/2017 6:46:17 PM,13393925,'Vatirel',76561198025654783,9/12/2017 4:53:21 AM,15848673,
Himalia,121095,'DethDeala',CV,[Fac   102],18307,283,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/12/2017 7:26:46 PM,16894539,'Vatirel',76561198025654783,9/12/2017 7:27:40 PM,16895624,
Himalia,121095,'DethDeala',CV,[Fac   102],18310,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/12/2017 9:49:43 PM,17064732,'Vatirel',76561198025654783,9/12/2017 9:55:49 PM,17072056,
Himalia,121095,'DethDeala',CV,[Fac   102],18310,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/12/2017 9:49:43 PM,17064732,'Vatirel',76561198025654783,9/12/2017 10:18:45 PM,17099562,
Himalia,121095,'DethDeala',CV,[Fac   102],18310,286,1893.466 33.30148 -374.8129,359.8765 20.94291 0.5139862,True,True,False,9/12/2017 9:49:43 PM,17064732,'Vatirel',76561198025654783,9/13/2017 4:44:54 AM,17562956,
