playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Seranis System,14018,'Deez Nutz',HV,[Fac   100],206,74,-1375.567 2479.937 -2110.87,16.44645 246.1489 287.3278,True,False,True,9/3/2017 4:36:50 PM,1159763,' Sackinvain',76561198124558893,9/3/2017 6:32:31 PM,1298617,
Kalliope System,14018,'Deez Nutz',HV,[Fac   100],206,74,-4545.925 557.1258 1331.026,355.5031 91.32642 358.5481,True,False,True,9/3/2017 4:36:50 PM,1159763,' Sackinvain',76561198124558893,9/3/2017 6:36:07 PM,1302931,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3686.586 21.38469 1133.525,0.0001484793 102.7869 -0.005475168,True,False,True,9/3/2017 8:40:06 PM,1451726,' Sackinvain',76561197994450968,9/3/2017 8:42:06 PM,1454113,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3686.586 21.38469 1133.525,0.0001484793 102.7869 -0.005475168,True,False,True,9/3/2017 8:40:06 PM,1451726,' Sackinvain',76561197994450968,9/3/2017 8:49:13 PM,1462662,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3703.353 21.33051 1167.583,-0.0001907171 275.1605 0.008144537,True,False,False,9/4/2017 2:28:09 AM,1869379,' Sackinvain',76561197994450968,9/4/2017 2:43:27 AM,1887732,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3703.353 21.33051 1167.583,-0.0001355745 275.1603 359.9899,True,False,True,9/4/2017 11:22:57 AM,2508008,'Satren',76561198124558893,9/4/2017 11:24:11 AM,2509497,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3703.353 21.33051 1167.583,-0.0001355745 275.1603 359.9899,True,False,True,9/4/2017 12:31:18 PM,2590028,'Satren',76561198124558893,9/4/2017 12:32:09 PM,2591058,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3585.947 37.30978 1123.639,358.9522 94.37183 2.037117,True,False,True,9/5/2017 1:24:42 AM,3518174,'Satren',76561197994450968,9/5/2017 2:24:19 AM,3589658,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3585.947 37.30978 1123.639,358.9522 94.37183 2.037117,True,False,True,9/5/2017 1:24:42 AM,3518174,'Satren',76561197994450968,9/6/2017 2:15:23 AM,5305201,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3585.947 37.30978 1123.639,358.9522 94.37183 2.037117,True,False,True,9/5/2017 1:24:42 AM,3518174,'Satren',76561197994450968,9/6/2017 2:21:00 AM,5311946,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3693.223 21.32967 1164.096,-0.0003561724 97.28932 359.9938,True,False,True,9/6/2017 3:20:28 AM,5383301,'Satren',76561197994450968,9/6/2017 3:25:39 AM,5389528,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3693.223 21.32967 1164.096,-0.0003561724 97.28932 359.9938,True,False,True,9/6/2017 3:20:28 AM,5383301,'Satren',76561197994450968,9/6/2017 5:02:55 AM,5506245,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3693.223 21.32967 1164.096,-0.0003561724 97.28932 359.9938,True,False,True,9/6/2017 3:20:28 AM,5383301,'Satren',76561197994450968,9/6/2017 1:14:00 PM,6093712,
Seranis,14018,'Deez Nutz',HV,[Fac   100],206,74,-3693.223 21.32967 1164.096,-0.0003561724 97.28932 359.9938,True,False,True,9/6/2017 5:33:26 PM,6403683,'Satren',76561197994450968,9/6/2017 10:20:49 PM,6748542,
Kazo,14018,'Deez Nutz',HV,[Fac   100],206,74,531.896 39.47026 71.59855,2.269185 128.3101 0.542838,True,True,True,9/6/2017 11:43:39 PM,6847950,'Satren',76561198124558893,9/6/2017 11:52:42 PM,6858819,
Vyrdis,14018,'Deez Nutz',HV,[Fac   100],206,74,-408.1862 72.15064 -984.3728,0.0006811541 2.54321 359.9806,True,False,True,9/7/2017 1:43:27 AM,6991704,'Satren',76561198124558893,9/7/2017 1:50:41 AM,7000388,
Vyrdis,14018,'Deez Nutz',HV,[Fac   100],206,74,-408.1862 72.15064 -984.3728,0.0006811541 2.54321 359.9806,True,False,True,9/7/2017 1:43:27 AM,6991704,'Satren',76561198124558893,9/7/2017 2:51:39 AM,7073559,
Vyrdis,14018,'Deez Nutz',HV,[Fac   100],206,74,-408.1862 72.15064 -984.3728,0.0006811541 2.54321 359.9806,True,False,True,9/7/2017 1:43:27 AM,6991704,'Satren',76561198124558893,9/7/2017 10:04:29 AM,7592957,
Vyrdis,14018,'Deez Nutz',HV,[Fac   100],206,74,-408.1862 72.15064 -984.3728,0.0006811541 2.54321 359.9806,True,False,True,9/7/2017 1:43:27 AM,6991704,'Satren',76561198124558893,9/7/2017 11:54:00 AM,7722631,
Vyrdis,14018,'Deez Nutz',HV,[Fac   100],206,74,-408.1862 72.15064 -984.3728,0.0006811541 2.54321 359.9806,True,False,True,9/7/2017 1:43:27 AM,6991704,'Satren',76561198124558893,9/7/2017 11:11:58 PM,8536188,
Vyrdis,14018,'Deez Nutz',HV,[Fac   100],206,74,-408.1862 72.15064 -984.3728,0.0006811541 2.54321 359.9806,True,False,True,9/7/2017 1:43:27 AM,6991704,'Satren',76561198124558893,9/8/2017 2:44:15 AM,8790941,
