playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Himalia,138001,'Base (BA)',BA,[Fac   102],11178,45,1763.029 19.29999 -305.876,0 213.6839 0,True,False,False,9/8/2017 4:59:29 PM,9813456,' FENRIS',76561197968119133,9/8/2017 5:00:55 PM,9815179,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,False,False,9/9/2017 10:58:48 AM,11108640,' FENRIS',76561197968119133,9/9/2017 11:34:14 AM,11151154,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,False,False,9/9/2017 1:27:55 PM,11285629,' FENRIS',76561197968119133,9/9/2017 1:37:10 PM,11296733,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,True,False,9/9/2017 4:47:57 PM,11525688,' FENRIS',76561197968119133,9/9/2017 4:49:07 PM,11527087,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,True,False,9/9/2017 4:47:57 PM,11525688,' FENRIS',76561197968119133,9/9/2017 10:53:18 PM,11964028,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,True,False,9/10/2017 12:03:36 AM,12048456,' FENRIS',76561197968119133,9/10/2017 12:56:22 AM,12111787,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,True,False,9/10/2017 12:03:36 AM,12048456,' FENRIS',76561197968119133,9/10/2017 6:14:38 PM,13355940,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,True,False,9/10/2017 12:03:36 AM,12048456,' FENRIS',76561197968119133,9/10/2017 6:46:39 PM,13394358,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,True,False,9/10/2017 12:03:36 AM,12048456,' FENRIS',76561197968119133,9/12/2017 1:44:45 AM,15622347,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,True,False,9/10/2017 12:03:36 AM,12048456,' FENRIS',76561197968119133,9/12/2017 4:48:22 AM,15842704,
Himalia,138001,'Base (BA)',BA,[Fac   102],11248,45,1763.029 19.29999 -305.876,0 213.6839 0,True,True,False,9/10/2017 12:03:36 AM,12048456,' FENRIS',76561197968119133,9/12/2017 4:53:21 AM,15848673,
